"site","standunique","stockdens","siteage","logged","year","jd","time","temp","obs","firstyr","W1","W2","W3","W4","W5","W6","W7","W8","W9","year.unscale","temp.unscale","jd.unscale","time.unscale","siteage.unscale"
7,236,8,1.30763976367467,1,0.881707336994224,0.330758208715772,-0.0148399283464612,-0.0861590202582643,92,1,3,0,0,0,0,0,0,0,1,2012,58,180,6.83333333333333,122
7,236,8,1.19437143357121,1,-0.284717994237633,0.330758208715772,-0.248704200609299,-2.74013155055389,85,1,1,0,0,0,0,1,0,0,0,2010,39,180,6.55,120
7,236,8,1.36427392872639,1,1.46492000261015,-2.22944472059888,0.0814571249382372,-0.0861590202582643,92,0,4,0,1,0,0,0,0,0,0,2013,58,171,6.95,123
7,236,8,1.08110310346776,1,-1.45114332546949,-0.807109759868518,0.617969278952983,1.03130309776095,78,1,0,0,0,0,0,0,0,0,0,2008,66,176,7.6,118
7,236,8,1.25100559862294,1,0.298494671378296,0.0462912165696997,-0.386271419587439,-0.924255608772674,86,1,0,0,0,0,0,0,0,0,0,2011,52,179,6.38333333333333,121
7,236,8,1.13773726851948,1,-0.867930659853561,-1.09157675201459,-0.221190756813671,-0.784572844020272,79,0,1,0,0,0,0,0,0,0,0,2009,53,175,6.58333333333333,119
8,236,8,1.13773726851948,0,-0.867930659853561,-1.09157675201459,-0.0285966502442752,-0.225841785010666,79,0,2,0,0,1,0,0,0,0,0,2009,57,175,6.81666666666667,119
8,236,8,1.19437143357121,0,-0.284717994237633,0.330758208715772,0.136484012529493,-2.60044878580149,85,1,2,0,0,0,0,0,0,0,0,2010,40,180,7.01666666666667,120
8,236,8,1.36427392872639,0,1.46492000261015,-2.22944472059888,0.329078119098889,0.33288927399894,92,0,2,0,1,1,0,0,0,0,0,2013,61,171,7.25,123
8,236,8,1.08110310346776,0,-1.45114332546949,-0.807109759868518,0.865590273113635,1.03130309776095,78,1,2,0,0,0,0,0,0,0,0,2008,66,176,7.9,118
8,236,8,1.30763976367467,0,0.881707336994224,0.330758208715772,0.329078119098889,0.193206509246539,92,1,2,1,0,1,0,0,0,0,0,2012,60,180,7.25,122
8,236,8,1.25100559862294,0,0.298494671378296,0.0462912165696997,-0.152407147324601,-0.784572844020272,86,1,4,0,0,0,0,0,0,0,0,2011,53,179,6.66666666666667,121
49,281,7,-1.24089766365308,1,1.46492000261015,0.615225200861845,-1.21167473345628,-1.48298666778228,92,0,1,0,0,1,0,0,0,0,0,2013,48,181,5.38333333333333,77
49,281,7,-1.35416599375653,1,0.298494671378296,0.899692193007918,-0.661405857543719,2.28844798053256,86,1,2,0,0,0,0,0,0,0,0,2011,75,182,6.05,75
49,281,7,-1.46743432385999,1,-0.867930659853561,1.46862617730006,0.934373882602705,0.751937568256145,79,0,0,0,0,0,0,0,0,0,0,2009,64,184,7.98333333333333,73
49,281,7,-1.29753182870481,1,0.881707336994224,1.18415918515399,-0.606378969952463,0.612254803503743,79,0,0,0,0,0,0,0,0,0,0,2012,63,183,6.11666666666667,76
49,281,7,-1.52406848891172,1,-1.45114332546949,-0.238175775576373,0.177754178222935,-0.365524549763067,75,1,1,0,0,0,1,0,0,1,0,2008,56,178,7.06666666666667,72
75,248,9,0.401493122847024,0,-1.45114332546949,0.0462912165696997,0.466645338077029,1.31066862726575,78,1,3,0,0,0,1,0,0,0,0,2008,68,179,7.41666666666667,106
