"","abbrev","site","standunique","fstype","fstypename","stockdens","siteage","logged","year","jd","time","temp","obs","firstyr","X1","X2","X3","W1","W2","W3","W4","W5","W6","W7","W8","W9","N","year.unscale","temp.unscale","jd.unscale","time.unscale","siteage.unscale"
"3009","OVEN","166","202","029","Red pine","9",0.00505396748493073,0,0.298494671378296,-0.807109759868518,-0.633892413748091,1.03130309776095,"87",1,3,0,1,3,0,0,0,1,0,0,0,0,4,"2011",66,176,6.08333333333333,99
"3011","OVEN","166","202","029","Red pine","9",0.0616881325366584,0,0.881707336994224,0.330758208715772,-0.207434034915857,0.612254803503743,"91",1,2,0,1,2,0,0,0,0,0,1,0,0,3,"2012",63,180,6.6,100
"3016","OVEN","166","202","029","Red pine","9",-0.0515801975667969,0,-0.284717994237633,0.0462912165696997,-0.565108804259021,-0.505207314515469,"85",1,1,1,0,1,0,0,1,0,0,0,0,0,2,"2010",55,179,6.16666666666667,98
"3019","OVEN","166","202","029","Red pine","9",0.118322297588386,0,1.46492000261015,-2.22944472059888,0.741779776033309,0.612254803503743,"87",0,1,0,1,1,0,0,0,1,0,0,0,0,2,"2013",63,171,7.75,101
"3021","OVEN","166","202","029","Red pine","9",-0.108214362618525,0,-0.867930659853561,1.75309316944614,0.590455835157355,3.12654456904697,"81",1,3,1,0,3,0,0,1,0,0,0,0,0,4,"2009",81,185,7.56666666666667,97
"3023","OVEN","166","202","029","Red pine","9",-0.164848527670252,0,-1.45114332546949,0.899692193007918,1.58093981179996,-0.0650577207286654,"79",1,1,0,2,1,0,0,0,1,0,0,1,0,3,"2008",58.1510658782206,182,8.76666666666667,96
"3024","OVEN","167","200","029","Red pine","9",2.27042056955404,0,-0.284717994237633,0.0462912165696997,-1.59686294659507,-0.505207314515469,"85",1,2,1,0,2,0,1,0,0,0,0,0,0,3,"2010",55,179,4.91666666666667,139
"3026","OVEN","167","200","029","Red pine","9",2.32705473460577,0,0.298494671378296,-0.807109759868518,-1.66564655608414,1.59003415677055,"87",1,0,0,1,0,0,0,0,0,0,0,1,0,1,"2011",70,176,4.83333333333333,140
"3029","OVEN","167","200","029","Red pine","9",2.15715223945058,0,-1.45114332546949,0.899692193007918,0.425375172383587,-0.655976196117949,"79",1,4,0,0,4,0,0,0,0,0,0,0,0,4,"2008",53.9206336095242,182,7.36666666666667,137
"3034","OVEN","167","200","029","Red pine","9",2.21378640450231,0,-0.867930659853561,1.75309316944614,0.783049941726751,-0.505207314515469,"81",1,3,0,2,3,0,0,0,1,0,0,1,0,5,"2009",55,185,7.8,138
"3037","OVEN","167","200","029","Red pine","9",2.44032306470922,0,1.46492000261015,-2.22944472059888,1.23702176435461,0.751937568256145,"87",0,2,1,1,2,0,0,1,0,0,1,0,0,4,"2013",64,171,8.35,142
"3041","OVEN","167","200","029","Red pine","9",2.38368889965749,0,0.881707336994224,0.330758208715772,-1.32172850863879,0.0535237444941372,"91",1,1,1,1,1,0,1,0,0,0,1,0,0,3,"2012",59,180,5.25,141
"3047","OVEN","168","200","029","Red pine","9",2.21378640450231,0,-0.867930659853561,1.75309316944614,0.948130604500519,-0.365524549763067,"81",1,3,1,1,2,1,0,1,0,0,0,1,0,5,"2009",56,185,8,138
"3048","OVEN","168","200","029","Red pine","9",2.32705473460577,0,0.298494671378296,-0.807109759868518,-1.44553900571912,1.03130309776095,"87",1,2,0,0,1,1,0,0,0,0,0,0,0,2,"2011",66,176,5.1,140
"3053","OVEN","168","200","029","Red pine","9",2.38368889965749,0,0.881707336994224,0.330758208715772,-0.785216354624045,0.33288927399894,"91",1,1,0,0,1,0,0,0,0,0,0,0,0,1,"2012",61,180,5.9,141
"3055","OVEN","168","200","029","Red pine","9",2.15715223945058,0,-1.45114332546949,0.899692193007918,0.906860438807077,-0.409760164705746,"79",1,4,0,0,4,0,0,0,0,0,0,0,0,4,"2008",55.683313721481,182,7.95,137
"3056","OVEN","168","200","029","Red pine","9",2.27042056955404,0,-0.284717994237633,0.0462912165696997,-1.18416128966065,-0.505207314515469,"85",1,3,1,0,3,0,0,1,0,0,0,0,0,4,"2010",55,179,5.41666666666667,139
"3061","OVEN","168","200","029","Red pine","9",2.44032306470922,0,1.46492000261015,-2.22944472059888,1.45712931471964,0.751937568256145,"87",0,4,0,1,3,1,0,0,1,0,0,0,0,5,"2013",64,171,8.61666666666667,142
"3066","OVEN","169","200","029","Red pine","9",2.44032306470922,0,1.46492000261015,-2.22944472059888,1.7185070307781,0.751937568256145,"87",0,3,0,0,3,0,0,0,0,0,0,0,0,3,"2013",64,171,8.93333333333333,142
"3067","OVEN","169","200","029","Red pine","9",2.32705473460577,0,0.298494671378296,-0.807109759868518,-1.18416128966065,0.751937568256145,"87",1,3,1,0,2,1,1,0,0,0,0,0,0,4,"2011",64,176,5.41666666666667,140
"3069","OVEN","169","200","029","Red pine","9",2.21378640450231,0,-0.867930659853561,1.75309316944614,1.1269679891721,-0.225841785010666,"81",1,1,0,0,1,0,0,0,0,0,0,0,0,1,"2009",57,185,8.21666666666667,138
"3070","OVEN","169","200","029","Red pine","9",2.38368889965749,0,0.881707336994224,0.330758208715772,-1.08786423637595,0.33288927399894,"91",1,2,0,0,2,0,0,0,0,0,0,0,0,2,"2012",61,180,5.53333333333333,141
"3073","OVEN","169","200","029","Red pine","9",2.27042056955404,0,-0.284717994237633,0.0462912165696997,-1.39051211812786,-0.505207314515469,"85",1,3,0,0,3,0,0,0,0,0,0,0,0,3,"2010",55,179,5.16666666666667,139
"3079","OVEN","169","200","029","Red pine","9",2.15715223945058,0,-1.45114332546949,0.899692193007918,0.659239444646425,-0.536385552289166,"79",1,3,0,0,3,0,0,0,0,0,0,0,0,3,"2008",54.7767925210461,182,7.65,137
"3081","OVEN","170","219","029","Red pine","9",-0.164848527670252,0,-0.867930659853561,-0.522642767722446,-1.08786423637595,-0.64489007926787,"81",1,2,1,0,2,0,0,1,0,0,0,0,0,3,"2009",54,177,5.53333333333333,96
"3083","OVEN","170","219","029","Red pine","9",-0.22148269272198,0,-1.45114332546949,0.615225200861845,-0.950297017397813,0.472572038751342,"78",1,3,0,0,3,0,0,0,0,0,0,0,0,3,"2008",62,181,5.7,95
"3091","OVEN","170","219","029","Red pine","9",-0.108214362618525,0,-0.284717994237633,-0.522642767722446,-1.528079337106,0.193206509246539,"85",1,3,0,0,2,1,0,0,0,0,0,0,0,3,"2010",60,177,5,97
"3097","OVEN","170","219","029","Red pine","9",0.00505396748493073,0,0.881707336994224,0.0462912165696997,-1.11537768017158,0.612254803503743,"92",1,1,2,1,1,0,2,0,0,0,1,0,0,4,"2012",63,179,5.5,99
"3098","OVEN","170","219","029","Red pine","9",0.0616881325366584,0,1.46492000261015,-1.37604374416066,-1.61061966849288,0.193206509246539,"92",0,1,1,1,0,1,0,1,0,0,0,1,0,3,"2013",60,174,4.9,100
"3099","OVEN","170","219","029","Red pine","9",-0.0515801975667969,0,0.298494671378296,-1.09157675201459,-0.895270129806557,-0.505207314515469,"86",1,1,0,1,1,0,0,0,0,0,1,0,0,2,"2011",55,175,5.76666666666667,98
"3101","OVEN","171","219","029","Red pine","9",0.00505396748493073,0,0.881707336994224,0.0462912165696997,-0.771459632726231,0.751937568256145,"92",1,5,0,0,5,0,0,0,0,0,0,0,0,5,"2012",64,179,5.91666666666667,99
"3103","OVEN","171","219","029","Red pine","9",-0.0515801975667969,0,0.298494671378296,-1.09157675201459,-0.675162579441533,-0.505207314515469,"86",1,2,0,0,2,0,0,0,0,0,0,0,0,2,"2011",55,175,6.03333333333333,98
"3104","OVEN","171","219","029","Red pine","9",0.0616881325366584,0,1.46492000261015,-1.37604374416066,-1.17040456776284,0.33288927399894,"92",0,2,0,2,2,0,0,0,1,1,0,0,0,4,"2013",61,174,5.43333333333333,100
"3108","OVEN","171","219","029","Red pine","9",-0.164848527670252,0,-0.867930659853561,-0.522642767722446,-1.28045834294535,-0.505207314515469,"81",1,3,0,0,2,1,0,0,0,0,0,0,0,3,"2009",55,177,5.3,96
"3110","OVEN","171","219","029","Red pine","9",-0.108214362618525,0,-0.284717994237633,-0.522642767722446,-1.32172850863879,0.193206509246539,"85",1,1,0,2,1,0,0,0,1,1,0,0,0,3,"2010",60,177,5.25,97
"3117","OVEN","171","219","029","Red pine","9",-0.22148269272198,0,-1.45114332546949,0.615225200861845,-0.730189467032789,0.472572038751342,"78",1,0,2,0,0,0,2,0,0,0,0,0,0,2,"2008",62,181,5.96666666666667,95
"3119","OVEN","172","219","029","Red pine","9",-0.164848527670252,0,-0.867930659853561,-0.522642767722446,-1.47305244951475,-0.784572844020272,"81",1,3,0,1,3,0,0,0,1,0,0,0,0,4,"2009",53,177,5.06666666666667,96
"3124","OVEN","172","219","029","Red pine","9",-0.22148269272198,0,-1.45114332546949,0.615225200861845,-0.496325194769951,-0.365524549763067,"78",1,3,0,0,3,0,0,0,0,0,0,0,0,3,"2008",56,181,6.25,95
"3125","OVEN","172","219","029","Red pine","9",-0.108214362618525,0,-0.284717994237633,-0.522642767722446,-1.08786423637595,0.193206509246539,"85",1,3,0,1,3,0,0,0,0,0,1,0,0,4,"2010",60,177,5.53333333333333,97
"3130","OVEN","172","219","029","Red pine","9",-0.0515801975667969,0,0.298494671378296,-1.09157675201459,-0.482568472872137,-0.64489007926787,"86",1,4,0,0,4,0,0,0,0,0,0,0,0,4,"2011",54,175,6.26666666666667,98
"3133","OVEN","172","219","029","Red pine","9",0.0616881325366584,0,1.46492000261015,-1.37604374416066,-1.41802556192349,0.33288927399894,"92",0,4,1,0,2,2,0,1,0,0,0,0,0,5,"2013",61,174,5.13333333333333,100
"3134","OVEN","172","219","029","Red pine","9",0.00505396748493073,0,0.881707336994224,0.0462912165696997,-0.537595360463393,0.751937568256145,"92",1,2,0,1,2,0,0,0,0,1,0,0,0,3,"2012",64,179,6.2,99
"3140","OVEN","173","218","029","Red pine","9",-0.108214362618525,0,-0.284717994237633,-0.522642767722446,-0.840243242215301,0.472572038751342,"85",1,2,0,2,2,0,0,0,2,0,0,0,0,4,"2010",62,177,5.83333333333333,97
"3141","OVEN","173","218","029","Red pine","9",-0.0515801975667969,0,0.298494671378296,-1.09157675201459,-0.276217644404927,-0.505207314515469,"86",1,2,0,0,1,1,0,0,0,0,0,0,0,2,"2011",55,175,6.51666666666667,98
"3146","OVEN","173","218","029","Red pine","9",0.0616881325366584,0,1.46492000261015,-1.37604374416066,-0.853999964113115,0.472572038751342,"92",0,4,1,0,4,0,0,1,0,0,0,0,0,5,"2013",62,174,5.81666666666667,100
"3150","OVEN","173","218","029","Red pine","9",-0.164848527670252,0,-0.867930659853561,-0.522642767722446,-0.881513407908743,-0.365524549763067,"81",1,1,1,1,1,0,1,0,0,0,0,1,0,3,"2009",56,177,5.78333333333333,96
"3154","OVEN","173","218","029","Red pine","9",-0.22148269272198,0,-1.45114332546949,0.615225200861845,-0.221190756813671,-0.365524549763067,"78",1,2,1,0,2,0,0,1,0,0,0,0,0,3,"2008",56,181,6.58333333333333,95
"3156","OVEN","173","218","029","Red pine","9",0.00505396748493073,0,0.881707336994224,0.0462912165696997,-0.179920591120229,0.612254803503743,"92",1,1,0,0,1,0,0,0,0,0,0,0,0,1,"2012",63,179,6.63333333333333,99
"3160","OVEN","174","218","029","Red pine","9",0.0616881325366584,0,1.46492000261015,-1.37604374416066,-0.675162579441533,0.472572038751342,"92",0,4,1,0,3,1,0,1,0,0,0,0,0,5,"2013",62,174,6.03333333333333,100
"3162","OVEN","174","218","029","Red pine","9",-0.0515801975667969,0,0.298494671378296,-1.09157675201459,-0.0973802597333449,-0.365524549763067,"86",1,1,0,0,1,0,0,0,0,0,0,0,0,1,"2011",56,175,6.73333333333333,98
"3169","OVEN","174","218","029","Red pine","9",-0.22148269272198,0,-1.45114332546949,0.615225200861845,-0.0285966502442752,-0.365524549763067,"78",1,1,1,0,1,0,1,0,0,0,0,0,0,2,"2008",56,181,6.81666666666667,95
"3170","OVEN","174","218","029","Red pine","9",-0.108214362618525,0,-0.284717994237633,-0.522642767722446,-0.633892413748091,0.472572038751342,"85",1,2,2,1,2,0,0,2,0,0,0,1,0,5,"2010",62,177,6.08333333333333,97
"3171","OVEN","174","218","029","Red pine","9",-0.164848527670252,0,-0.867930659853561,-0.522642767722446,-0.702676023237161,-0.225841785010666,"81",1,2,0,0,2,0,0,0,0,0,0,0,0,2,"2009",57,177,6,96
"3175","OVEN","174","218","029","Red pine","9",0.00505396748493073,0,0.881707336994224,0.0462912165696997,0.0401869592447953,0.612254803503743,"92",1,4,0,1,4,0,0,0,0,1,0,0,0,5,"2012",63,179,6.9,99
"3176","OVEN","175","218","029","Red pine","9",0.00505396748493073,0,0.881707336994224,0.0462912165696997,0.246537787712005,0.612254803503743,"92",1,2,0,1,2,0,0,0,1,0,0,0,0,3,"2012",63,179,7.15,99
"3177","OVEN","175","218","029","Red pine","9",-0.108214362618525,0,-0.284717994237633,-0.522642767722446,-0.427541585280881,0.612254803503743,"85",1,3,0,0,3,0,0,0,0,0,0,0,0,3,"2010",63,177,6.33333333333333,97
"3181","OVEN","175","218","029","Red pine","9",-0.164848527670252,0,-0.867930659853561,-0.522642767722446,-0.523838638565579,-0.0861590202582643,"81",1,1,0,2,1,0,0,0,2,0,0,0,0,3,"2009",58,177,6.21666666666667,96
"3185","OVEN","175","218","029","Red pine","9",-0.0515801975667969,0,0.298494671378296,-1.09157675201459,0.136484012529493,-0.505207314515469,"86",1,2,0,0,1,1,0,0,0,0,0,0,0,2,"2011",55,175,7.01666666666667,98
"3186","OVEN","175","218","029","Red pine","9",-0.22148269272198,0,-1.45114332546949,0.615225200861845,0.163997456325121,-0.365524549763067,"78",1,1,0,1,1,0,0,0,0,0,0,0,1,2,"2008",56,181,7.05,95
"3187","OVEN","175","218","029","Red pine","9",0.0616881325366584,0,1.46492000261015,-1.37604374416066,-0.496325194769951,0.472572038751342,"92",0,0,3,0,0,0,2,1,0,0,0,0,0,3,"2013",62,174,6.25,100
"3201","OVEN","176","220","029","Red pine","9",-0.22148269272198,0,-1.45114332546949,0.615225200861845,0.549185669463913,0.472572038751342,"78",1,2,0,1,2,0,0,0,0,0,1,0,0,3,"2008",62,181,7.51666666666667,95
"3204","OVEN","176","220","029","Red pine","9",-0.164848527670252,0,-0.867930659853561,-0.522642767722446,-0.234947478711485,0.193206509246539,"81",1,2,1,0,1,1,0,1,0,0,0,0,0,3,"2009",60,177,6.56666666666667,96
"3206","OVEN","176","220","029","Red pine","9",-0.0515801975667969,0,0.298494671378296,-1.09157675201459,-1.08786423637595,-0.505207314515469,"86",1,1,0,0,1,0,0,0,0,0,0,0,0,1,"2011",55,175,5.53333333333333,98
"3208","OVEN","176","220","029","Red pine","9",0.00505396748493073,0,0.881707336994224,0.0462912165696997,0.672996166544239,0.891620333008546,"92",1,3,0,1,3,0,0,0,0,1,0,0,0,4,"2012",65,179,7.66666666666667,99
"3209","OVEN","176","220","029","Red pine","9",0.0616881325366584,0,1.46492000261015,-1.37604374416066,-0.138650425426787,0.193206509246539,"92",0,4,0,0,4,0,0,0,0,0,0,0,0,4,"2013",60,174,6.68333333333333,100
"3210","OVEN","176","220","029","Red pine","9",-0.108214362618525,0,-0.284717994237633,-0.522642767722446,-0.234947478711485,0.751937568256145,"85",1,1,1,0,1,0,0,1,0,0,0,0,0,2,"2010",64,177,6.56666666666667,97
"3217","OVEN","177","220","029","Red pine","9",0.458127287898752,0,-0.284717994237633,-0.522642767722446,-0.0148399283464612,0.751937568256145,"85",1,2,0,0,1,1,0,0,0,0,0,0,0,2,"2010",64,177,6.83333333333333,107
"3223","OVEN","177","220","029","Red pine","9",0.344858957795297,0,-1.45114332546949,0.615225200861845,0.796806663624565,0.193206509246539,"78",1,2,0,0,2,0,0,0,0,0,0,0,0,2,"2008",60,181,7.81666666666667,105
"3225","OVEN","177","220","029","Red pine","9",0.628029783053935,0,1.46492000261015,-1.37604374416066,0.150240734427307,0.33288927399894,"92",0,1,0,1,1,0,0,0,0,1,0,0,0,2,"2013",61,174,7.03333333333333,110
"3226","OVEN","177","220","029","Red pine","9",0.401493122847024,0,-0.867930659853561,-0.522642767722446,-0.0285966502442752,0.193206509246539,"81",1,2,1,0,2,0,1,0,0,0,0,0,0,3,"2009",60,177,6.81666666666667,106
"3229","OVEN","177","220","029","Red pine","9",0.571395618002208,0,0.881707336994224,0.0462912165696997,1.01691421398959,0.891620333008546,"92",1,5,0,0,5,0,0,0,0,0,0,0,0,5,"2012",65,179,8.08333333333333,109
"3230","OVEN","177","220","029","Red pine","9",0.51476145295048,0,0.298494671378296,-1.09157675201459,-1.32172850863879,-0.64489007926787,"86",1,2,0,0,2,0,0,0,0,0,0,0,0,2,"2011",54,175,5.25,108
"3234","OVEN","178","220","029","Red pine","9",0.628029783053935,0,1.46492000261015,-1.37604374416066,0.480402059974843,0.472572038751342,"92",0,2,2,0,2,0,2,0,0,0,0,0,0,4,"2013",62,174,7.43333333333333,110
"3240","OVEN","178","220","029","Red pine","9",0.458127287898752,0,-0.284717994237633,-0.522642767722446,0.232781065814191,0.751937568256145,"85",1,2,0,0,2,0,0,0,0,0,0,0,0,2,"2010",64,177,7.13333333333333,107
"3242","OVEN","178","220","029","Red pine","9",0.51476145295048,0,0.298494671378296,-1.09157675201459,-1.55559278090163,-0.64489007926787,"86",1,0,1,2,0,0,1,0,0,1,1,0,0,3,"2011",54,175,4.96666666666667,108
"3243","OVEN","178","220","029","Red pine","9",0.401493122847024,0,-0.867930659853561,-0.522642767722446,0.150240734427307,0.33288927399894,"81",1,2,0,0,2,0,0,0,0,0,0,0,0,2,"2009",61,177,7.03333333333333,106
"3246","OVEN","178","220","029","Red pine","9",0.571395618002208,0,0.881707336994224,0.0462912165696997,1.37458898333275,1.31066862726575,"92",1,3,0,1,3,0,0,0,0,0,1,0,0,4,"2012",68,179,8.51666666666667,109
"3249","OVEN","178","220","029","Red pine","9",0.344858957795297,0,-1.45114332546949,0.615225200861845,1.0306709358874,0.193206509246539,"78",1,4,1,0,4,0,0,1,0,0,0,0,0,5,"2008",60,181,8.1,105
"3257","OVEN","179","221","029","Red pine","9",0.967834773364301,0,-0.867930659853561,-0.522642767722446,1.14072471106991,0.612254803503743,"81",1,3,0,2,2,1,0,0,0,1,0,1,0,5,"2009",63,177,8.23333333333333,116
"3260","OVEN","179","221","029","Red pine","9",1.13773726851948,0,0.881707336994224,0.0462912165696997,2.54391034464694,1.31066862726575,"92",1,3,0,0,2,1,0,0,0,0,0,0,0,3,"2012",68,179,9.93333333333333,119
"3261","OVEN","179","221","029","Red pine","9",0.911200608312574,0,-1.45114332546949,0.615225200861845,2.04866835632564,0.472572038751342,"78",1,3,0,0,3,0,0,0,0,0,0,0,0,3,"2008",62,181,9.33333333333333,115
"3264","OVEN","179","221","029","Red pine","9",1.02446893841603,0,-0.284717994237633,-0.522642767722446,1.2232650424568,0.751937568256145,"85",1,2,1,0,2,0,1,0,0,0,0,0,0,3,"2010",64,177,8.33333333333333,117
"3272","OVEN","180","221","029","Red pine","9",0.967834773364301,0,-0.867930659853561,-0.522642767722446,0.975644048296147,0.612254803503743,"81",1,2,0,3,2,0,0,0,0,0,1,2,0,5,"2009",63,177,8.03333333333333,116
"3275","OVEN","180","221","029","Red pine","9",1.13773726851948,0,0.881707336994224,0.0462912165696997,2.33755951617973,1.31066862726575,"92",1,3,0,1,2,1,0,0,1,0,0,0,0,4,"2012",68,179,9.68333333333333,119
"3278","OVEN","180","221","029","Red pine","9",1.19437143357121,0,1.46492000261015,-1.37604374416066,1.37458898333275,0.33288927399894,"92",0,1,1,1,1,0,0,1,0,1,0,0,0,3,"2013",61,174,8.51666666666667,120
"3280","OVEN","180","221","029","Red pine","9",1.02446893841603,0,-0.284717994237633,-0.522642767722446,1.08569782347866,0.891620333008546,"85",1,3,0,0,3,0,0,0,0,0,0,0,0,3,"2010",65,177,8.16666666666667,117
"3285","OVEN","180","221","029","Red pine","9",0.911200608312574,0,-1.45114332546949,0.615225200861845,1.85607424975624,0.193206509246539,"78",1,3,1,0,3,0,0,1,0,0,0,0,0,4,"2008",60,181,9.1,115
"3293","OVEN","181","221","029","Red pine","9",2.10051807439885,0,0.881707336994224,0.0462912165696997,2.14496540961034,1.31066862726575,"92",1,1,1,0,0,1,1,0,0,0,0,0,0,2,"2012",68,179,9.45,136
"3295","OVEN","181","221","029","Red pine","9",1.87398141419194,0,-1.45114332546949,0.615225200861845,1.67723686508466,0.193206509246539,"78",1,2,1,0,2,0,0,1,0,0,0,0,0,3,"2008",60,181,8.88333333333333,132
"3297","OVEN","181","221","029","Red pine","9",2.15715223945058,0,1.46492000261015,-1.37604374416066,1.18199487676336,0.193206509246539,"92",0,0,0,1,0,0,0,0,0,0,0,1,0,1,"2013",60,174,8.28333333333333,137
"3299","OVEN","181","221","029","Red pine","9",1.9872497442954,0,-0.284717994237633,-0.522642767722446,0.906860438807077,0.891620333008546,"85",1,3,1,0,3,0,1,0,0,0,0,0,0,4,"2010",65,177,7.95,134
"3304","OVEN","181","221","029","Red pine","9",1.93061557924367,0,-0.867930659853561,-0.522642767722446,0.810563385522379,0.472572038751342,"81",1,2,0,0,2,0,0,0,0,0,0,0,0,2,"2009",62,177,7.83333333333333,133
"3308","OVEN","182","277","027","Red pine","7",0.571395618002208,0,-0.867930659853561,0.899692193007918,-1.15664784586502,-1.48298666778228,"76",0,3,1,0,2,1,1,0,0,0,0,0,0,4,"2009",48,182,5.45,109
"3313","OVEN","182","277","027","Red pine","7",0.797932278209118,0,1.46492000261015,0.330758208715772,-0.867756686010929,0.193206509246539,"84",0,1,0,1,1,0,0,0,0,0,1,0,0,2,"2013",60,180,5.8,113
"3317","OVEN","182","277","027","Red pine","7",0.684663948105663,0,0.298494671378296,1.18415918515399,-1.11537768017158,0.891620333008546,"85",0,2,0,0,2,0,0,0,0,0,0,0,0,2,"2011",65,183,5.5,111
"3319","OVEN","182","277","027","Red pine","7",0.628029783053935,0,-0.284717994237633,0.899692193007918,-0.496325194769951,0.193206509246539,"81",0,1,0,1,0,1,0,0,1,0,0,0,0,2,"2010",60,182,6.25,110
"3320","OVEN","182","277","027","Red pine","7",0.51476145295048,0,-1.45114332546949,-0.238175775576373,-0.757702910828417,-0.276037334248575,"79",1,3,1,0,3,0,1,0,0,0,0,0,0,4,"2008",56.6406460787994,178,5.93333333333333,108
"3323","OVEN","182","277","027","Red pine","7",0.74129811315739,0,0.881707336994224,0.615225200861845,-1.08786423637595,-0.505207314515469,"79",0,1,0,0,1,0,0,0,0,0,0,0,0,1,"2012",55,181,5.53333333333333,112
"3324","OVEN","183","277","027","Red pine","7",0.684663948105663,0,0.298494671378296,1.18415918515399,-1.32172850863879,0.891620333008546,"85",0,2,0,1,1,1,0,0,1,0,0,0,0,3,"2011",65,183,5.25,111
"3327","OVEN","183","277","027","Red pine","7",0.74129811315739,0,0.881707336994224,0.615225200861845,-1.29421506484316,-0.505207314515469,"79",0,2,0,0,1,1,0,0,0,0,0,0,0,2,"2012",55,181,5.28333333333333,112
"3328","OVEN","183","277","027","Red pine","7",0.797932278209118,0,1.46492000261015,0.330758208715772,-1.11537768017158,0.193206509246539,"84",0,2,0,1,2,0,0,0,0,0,1,0,0,3,"2013",60,180,5.5,113
"3333","OVEN","183","277","027","Red pine","7",0.51476145295048,0,-1.45114332546949,-0.238175775576373,-1.15664784586502,-0.524302697312685,"79",1,2,0,0,2,0,0,0,0,0,0,0,0,2,"2008",54.8632946388836,178,5.45,108
"3334","OVEN","183","277","027","Red pine","7",0.571395618002208,0,-0.867930659853561,0.899692193007918,-1.36299867433223,-1.48298666778228,"76",0,2,1,1,2,0,1,0,0,0,0,0,1,4,"2009",48,182,5.2,109
"3338","OVEN","183","277","027","Red pine","7",0.628029783053935,0,-0.284717994237633,0.899692193007918,-0.331244531996183,0.33288927399894,"81",0,2,0,0,2,0,0,0,0,0,0,0,0,2,"2010",61,182,6.45,110
"3346","OVEN","184","277","027","Red pine","7",0.797932278209118,0,1.46492000261015,0.330758208715772,-0.661405857543719,0.472572038751342,"84",0,1,3,0,1,0,3,0,0,0,0,0,0,4,"2013",62,180,6.05,113
"3351","OVEN","184","277","027","Red pine","7",0.51476145295048,0,-1.45114332546949,-0.238175775576373,-0.936540295499999,-0.387328703898003,"79",1,3,0,1,1,2,0,0,0,0,0,1,0,4,"2008",55.8439023298717,178,5.71666666666667,108
"3358","OVEN","184","277","027","Red pine","7",0.571395618002208,0,-0.867930659853561,0.899692193007918,-0.964053739295627,-1.48298666778228,"76",0,3,1,1,3,0,0,1,0,0,0,0,1,5,"2009",48,182,5.68333333333333,109
"3359","OVEN","184","277","027","Red pine","7",0.684663948105663,0,0.298494671378296,1.18415918515399,-0.936540295499999,0.891620333008546,"85",0,1,1,1,1,0,0,1,0,1,0,0,0,3,"2011",65,183,5.71666666666667,111
"3360","OVEN","184","277","027","Red pine","7",0.74129811315739,0,0.881707336994224,0.615225200861845,-0.867756686010929,-0.225841785010666,"79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012",57,181,5.8,112
"3361","OVEN","184","277","027","Red pine","7",0.628029783053935,0,-0.284717994237633,0.899692193007918,-0.152407147324601,0.472572038751342,"81",0,1,0,1,1,0,0,0,0,0,1,0,0,2,"2010",62,182,6.66666666666667,110
"3420","OVEN","188","275","027","Red pine","7",0.74129811315739,0,0.881707336994224,0.615225200861845,0.108970568733865,-0.225841785010666,"79",0,3,0,0,2,1,0,0,0,0,0,0,0,3,"2012",57,181,6.98333333333333,112
"3423","OVEN","188","275","027","Red pine","7",0.797932278209118,0,1.46492000261015,0.330758208715772,0.219024343916377,0.472572038751342,"84",0,3,0,1,3,0,0,0,0,0,0,0,1,4,"2013",62,180,7.11666666666667,113
"3424","OVEN","188","275","027","Red pine","7",0.628029783053935,0,-0.284717994237633,0.899692193007918,0.590455835157355,0.751937568256145,"81",0,0,0,2,0,0,0,0,0,0,1,1,0,2,"2010",64,182,7.56666666666667,110
"3427","OVEN","188","275","027","Red pine","7",0.51476145295048,0,-1.45114332546949,-0.238175775576373,0.0952138468360511,0.254736890233314,"79",1,1,2,0,1,0,2,0,0,0,0,0,0,3,"2008",60.4405008813782,178,6.96666666666667,108
"3431","OVEN","188","275","027","Red pine","7",0.571395618002208,0,-0.867930659853561,0.899692193007918,-0.193677313018043,-1.34330390302988,"76",0,2,1,0,2,0,0,1,0,0,0,0,0,3,"2009",49,182,6.61666666666667,109
"3437","OVEN","188","275","027","Red pine","7",0.684663948105663,0,0.298494671378296,1.18415918515399,0.0126735154491674,0.472572038751342,"85",0,1,0,0,1,0,0,0,0,0,0,0,0,1,"2011",62,183,6.86666666666667,111
"3438","OVEN","189","275","027","Red pine","7",0.74129811315739,0,0.881707336994224,0.615225200861845,0.356591562894517,-0.0861590202582643,"79",0,2,0,0,2,0,0,0,0,0,0,0,0,2,"2012",58,181,7.28333333333333,112
"3442","OVEN","189","275","027","Red pine","7",0.684663948105663,0,0.298494671378296,1.18415918515399,0.205267622018563,0.472572038751342,"85",0,2,0,2,2,0,0,0,1,0,0,1,0,4,"2011",62,183,7.1,111
"3446","OVEN","189","275","027","Red pine","7",0.628029783053935,0,-0.284717994237633,0.899692193007918,0.769293219828937,0.891620333008546,"81",0,1,0,1,1,0,0,0,0,0,1,0,0,2,"2010",65,182,7.78333333333333,110
"3450","OVEN","189","275","027","Red pine","7",0.797932278209118,0,1.46492000261015,0.330758208715772,0.411618450485773,0.472572038751342,"84",0,3,0,0,3,0,0,0,0,0,0,0,0,3,"2013",62,180,7.35,113
"3451","OVEN","189","275","027","Red pine","7",0.571395618002208,0,-0.867930659853561,0.899692193007918,-0.0148399283464612,-1.20362113827748,"76",0,3,1,2,2,1,0,1,0,1,0,0,1,6,"2009",50,182,6.83333333333333,109
